K D_s6 D_s7 D_s8 R_h_layer span_h_layer
1000 2.000000 2.000000 2.000000 2.000000 0.625805
5124 1.595715 1.298299 1.820156 2.000000 0.625805
9248 1.156826 1.108751 1.180490 1.663619 0.625805
13372 0.941590 0.899366 0.855381 1.507942 0.625805
17500 0.715410 0.729486 0.754235 1.377863 0.625805
21624 0.602348 0.604205 0.603316 1.266215 0.625805
25748 0.542487 0.520675 0.515605 1.159521 0.625805
29872 0.487688 0.463176 0.450023 1.097793 0.625805
34000 0.443864 0.416639 0.411089 1.022901 0.625805
38124 0.395484 0.394810 0.367469 1.012294 0.625805
42248 0.363681 0.357776 0.327187 0.957850 0.625805
46372 0.341781 0.335059 0.317082 0.941363 0.625805
50500 0.319577 0.308152 0.304026 0.939996 0.625805
54624 0.300278 0.299340 0.275526 0.922993 0.625805
58748 0.281660 0.283303 0.257383 0.882282 0.625805
62872 0.265037 0.274105 0.253576 0.870492 0.625805
67000 0.262708 0.256141 0.234576 0.864861 0.625805
71124 0.247563 0.238493 0.230968 0.846121 0.625805
75248 0.242488 0.230744 0.224190 0.859026 0.625805
79372 0.228484 0.227800 0.215099 0.852464 0.625805
83500 0.222960 0.216862 0.197824 0.834328 0.625805
87624 0.213596 0.208668 0.197713 0.832006 0.625805
91748 0.204120 0.202001 0.191375 0.817233 0.625805
95872 0.199339 0.196542 0.179211 0.790239 0.625805
100000 0.195425 0.186274 0.177153 0.795916 0.625805
