Episode CumulativeRegret StdDev
1 0.005562 0.000000
5026 53.643889 4.414908
10051 131.996453 11.565363
15076 246.185538 2.811159
20101 305.845487 11.215928
25126 392.669970 40.178586
30151 568.781144 36.195582
35176 649.009402 29.104866
40201 698.062343 31.794307
45227 844.823707 110.754421
50252 959.675536 60.379226
55277 1056.980908 73.965110
60302 1108.410994 93.961281
65327 1206.472419 64.032407
70352 1295.755724 109.191213
75377 1389.960542 55.160998
80402 1416.427377 58.809433
85428 1449.743205 60.941437
90453 1477.957824 59.472937
95478 1503.834513 57.272750
100503 1532.923244 58.419536
105528 1563.038919 56.930121
110553 1595.194810 57.003273
115578 1619.033705 61.905113
120603 1642.186668 67.939646
125629 1668.066857 68.315990
130654 1687.996133 68.173433
135679 1712.077354 65.470782
140704 1739.050831 65.733663
145729 1760.339965 65.577319
150754 1788.130309 61.457182
155779 1809.244856 61.186509
160804 1834.125681 59.442622
165829 1855.406863 59.500380
170855 1878.770584 54.118107
175880 1901.744573 49.542084
180905 1919.594559 50.419398
185930 1939.131551 49.938725
190955 1961.098205 50.410985
195980 1980.745785 48.392232
201005 2002.038935 46.771165
206030 2026.532764 41.774641
211056 2042.751926 40.624590
216081 2059.149337 41.300424
221106 2077.037083 40.831765
226131 2098.040630 41.548017
231156 2112.497516 39.570010
236181 2127.288989 39.032140
241206 2142.201370 37.300745
246231 2158.274496 37.691408
251257 2177.702560 42.953644
256282 2192.902369 42.184265
261307 2207.725819 42.489480
266332 2221.429221 41.115389
271357 2238.089948 37.007679
276382 2254.122882 36.985957
281407 2270.374462 36.130637
286432 2286.813957 34.491177
291457 2301.692437 33.413238
296483 2315.192240 31.412565
301508 2329.780055 32.673567
306533 2344.538662 30.141816
311558 2360.740925 28.445454
316583 2376.702975 29.188920
321608 2391.384630 28.632946
326633 2404.321519 27.568253
331658 2422.977934 29.450003
336684 2439.373634 28.534531
341709 2454.084156 29.696168
346734 2468.753158 28.754513
351759 2486.461245 22.479768
356784 2499.692637 23.990738
361809 2512.632460 25.981271
366834 2523.138547 24.563155
371859 2536.176362 26.569740
376885 2547.109680 25.772093
381910 2558.291857 24.720838
386935 2570.936020 22.679706
391960 2583.023065 21.303893
396985 2600.938020 21.174947
402010 2613.479759 23.261021
407035 2622.986291 24.391169
412060 2646.446488 30.962878
417086 2717.083963 116.647631
422111 2728.729506 114.067920
427136 2738.706105 113.988066
432161 2748.609296 113.409594
437186 2761.499033 113.488225
442211 2775.504851 112.420613
447236 2788.567410 110.087879
452261 2799.838868 108.820103
457286 2812.571809 111.518029
462312 2824.503404 112.135235
467337 2839.967664 113.827719
472362 2854.849003 113.811870
477387 2869.497736 111.900099
482412 2880.922065 109.398092
487437 2892.195427 108.073524
492462 2903.105498 106.333096
497487 2912.099907 106.590449
502513 2924.302132 105.947955
507538 2938.723265 108.066746
512563 2947.334040 109.467827
517588 2960.008334 107.318853
522613 2973.222456 109.282940
527638 2986.676749 109.751614
532663 2996.304714 111.704455
537688 3011.093094 109.865142
542714 3019.954217 108.039567
547739 3031.338883 108.445090
552764 3044.385738 110.631904
557789 3056.983682 114.464873
562814 3066.744355 114.092143
567839 3080.258533 114.976022
572864 3092.884687 113.830666
577889 3104.320755 111.967821
582914 3115.925956 110.821191
587940 3129.186740 113.342501
592965 3143.846484 111.120249
597990 3156.342035 113.835021
603015 3166.871432 115.103044
608040 3175.602523 114.850092
613065 3184.555681 114.790847
618090 3256.803181 135.734880
623115 3271.687032 142.019911
628141 3283.555639 145.433352
633166 3295.324309 147.305761
638191 3359.528943 100.994032
643216 3412.023938 46.191192
648241 3433.201211 43.044483
653266 3443.511058 44.169029
658291 3456.133702 45.412334
663316 3466.967904 48.713510
668342 3478.203685 54.078465
673367 3489.897659 56.356759
678392 3502.758744 54.154757
683417 3512.817415 52.335456
688442 3521.245677 53.840225
693467 3528.775694 56.432896
698492 3535.305038 57.797974
703517 3544.284214 59.762664
708543 3555.534920 60.171999
713568 3562.110984 61.018650
718593 3572.151676 61.172896
723618 3581.755178 61.955864
728643 3594.080660 63.743042
733668 3607.239045 65.623677
738693 3614.553889 65.357398
743718 3626.147289 66.299255
748743 3635.037703 67.639272
753769 3644.664336 67.079082
758794 3653.988836 68.760524
763819 3664.625875 69.197375
768844 3675.128127 68.452235
773869 3685.342669 68.883321
778894 3693.652498 69.560880
783919 3702.163864 71.435017
788944 3713.139168 72.742887
793970 3721.301045 72.522538
798995 3731.375589 73.987873
804020 3740.998970 77.172610
809045 3748.347206 76.590372
814070 3758.197918 74.933486
819095 3764.622915 74.051281
824120 3772.700188 74.162743
829145 3781.400478 71.168928
834171 3789.808467 73.680167
839196 3800.221910 74.689134
844221 3806.695451 75.823709
849246 3815.055495 77.949166
854271 3825.617902 78.201369
859296 3837.082008 77.681003
864321 3845.569244 77.869391
869346 3853.140052 78.222427
874371 3862.035475 74.916919
879397 3869.303000 73.782994
884422 3877.799629 75.158446
889447 3885.827475 73.570247
894472 3893.457871 75.160706
899497 3902.636060 75.651162
904522 3913.390925 76.527334
909547 3921.946556 74.050973
914572 3928.338041 74.032444
919598 3934.992274 76.389993
924623 3944.826060 79.912920
929648 3953.914151 81.686955
934673 3961.777872 81.856103
939698 3970.012854 84.303681
944723 3981.223701 85.727093
949748 3990.852266 86.293724
954773 3997.975945 87.059941
959799 4005.336923 88.657009
964824 4012.298116 88.274336
969849 4018.552522 89.781605
974874 4024.523926 90.404452
979899 4034.111751 91.412041
984924 4043.955905 93.289994
989949 4050.544072 93.187470
994974 4058.287848 92.861043
1000000 4067.666888 94.170497
