Episode CumulativeRegret StdDev
1 0.113285 0.000000
5026 357.540996 21.174094
10051 623.121455 8.162741
15076 807.327660 10.211030
20101 945.054919 6.059189
25126 1068.842403 17.747437
30151 1159.270103 28.829628
35176 1255.629981 35.300957
40201 1324.932193 40.673405
45227 1389.368275 47.109647
50252 1450.097093 39.427229
55277 1503.464347 42.862184
60302 1555.575143 38.601647
65327 1605.670477 41.151341
70352 1649.236659 43.489166
75377 1692.466471 46.122645
80402 1727.688063 49.762841
85428 1763.081046 52.998709
90453 1802.261467 54.029973
95478 1838.882772 48.855754
100503 1870.880929 48.253319
105528 1906.569441 46.528444
110553 1936.281427 51.257622
115578 1965.428357 50.309654
120603 1994.345310 44.216297
125629 2023.235462 46.676550
130654 2049.677975 48.150435
135679 2077.082775 51.616890
140704 2101.895793 55.711804
145729 2123.725646 57.050499
150754 2150.344533 65.455571
155779 2175.130884 66.694054
160804 2201.524830 59.338650
165829 2222.713623 56.992739
170855 2246.426205 57.445714
175880 2270.054068 56.251457
180905 2292.003805 56.613990
185930 2315.504594 54.748307
190955 2338.613676 58.358577
195980 2358.857017 55.667725
201005 2379.513639 56.938077
206030 2400.230899 56.134345
211056 2419.374173 55.423327
216081 2444.834429 59.794027
221106 2466.870021 64.091369
226131 2488.792221 67.871498
231156 2508.651060 71.527864
236181 2529.345779 76.933422
241206 2546.160540 77.679797
246231 2574.389295 75.684905
251257 2591.620934 78.364239
256282 2610.965229 76.378763
261307 2626.704861 78.497036
266332 2644.589381 80.486773
271357 2661.065001 78.506171
276382 2678.799552 82.529465
281407 2701.096942 91.337740
286432 2721.695867 88.900960
291457 2739.772281 87.082921
296483 2756.526432 87.806337
301508 2773.079183 85.829239
306533 2789.233449 85.871657
311558 2806.114816 88.374678
316583 2821.938449 88.716737
321608 2837.405709 87.318779
326633 2857.789996 85.442235
331658 2875.276662 86.516395
336684 2893.113631 85.981237
341709 2908.207922 86.704681
346734 2924.531906 83.416454
351759 2940.051677 83.205115
356784 2954.615902 83.182260
361809 2967.778391 84.866393
366834 2985.397314 85.081182
371859 2999.924649 89.552313
376885 3012.539116 93.110642
381910 3024.537102 93.167690
386935 3037.439996 93.048739
391960 3049.071653 93.955968
396985 3060.865642 93.184494
402010 3073.742988 94.731655
407035 3089.742399 98.626974
412060 3105.622922 100.149796
417086 3121.294494 102.921920
422111 3134.403828 104.550687
427136 3146.833652 104.477726
432161 3161.544654 103.185666
437186 3175.080684 100.438552
442211 3185.270082 101.724625
447236 3196.443790 103.345266
452261 3212.663886 100.144984
457286 3225.488447 102.675954
462312 3236.145010 103.367619
467337 3249.939634 104.095644
472362 3263.712617 101.599959
477387 3277.802911 98.629348
482412 3290.626980 97.203356
487437 3301.250435 98.503143
492462 3311.828750 96.764479
497487 3323.614166 94.539803
502513 3336.299519 97.624504
507538 3350.539175 97.209999
512563 3364.020774 98.335809
517588 3375.140970 97.985286
522613 3393.019330 104.102632
527638 3407.535616 104.149697
532663 3416.549809 106.632270
537688 3427.519470 107.269369
542714 3437.073665 108.467351
547739 3449.464254 110.841808
552764 3465.562530 110.343748
557789 3479.246110 109.649959
562814 3491.267620 110.639236
567839 3503.846577 110.520790
572864 3515.310198 111.814180
577889 3525.406170 110.622442
582914 3538.136785 110.757460
587940 3549.672720 109.501939
592965 3560.909675 111.034948
597990 3570.060155 110.723641
603015 3580.809913 109.183191
608040 3596.303465 111.933973
613065 3607.170072 112.841141
618090 3618.164610 112.433816
623115 3629.986847 109.918509
628141 3640.367635 112.380762
633166 3650.936678 110.884230
638191 3666.800937 113.021573
643216 3676.752712 111.603775
648241 3688.275751 112.547650
653266 3698.720754 111.152082
658291 3710.074891 108.253827
663316 3720.177403 104.815839
668342 3729.230990 106.738335
673367 3740.944573 106.119487
678392 3750.051082 103.671535
683417 3758.122882 104.124563
688442 3769.580244 106.525980
693467 3782.928415 104.257240
698492 3799.772163 104.155129
703517 3810.576018 104.438096
708543 3824.000169 105.326769
713568 3836.093191 110.267576
718593 3848.149186 113.106306
723618 3858.186451 112.558583
728643 3867.009561 110.619667
733668 3877.913574 112.257543
738693 3887.005174 111.312468
743718 3897.313811 113.442116
748743 3905.680506 110.781218
753769 3915.875490 111.137295
758794 3929.508012 117.036589
763819 3940.698606 115.078609
768844 3949.328207 111.951181
773869 3959.070955 110.403210
778894 3967.475715 110.849396
783919 3979.085282 112.285676
788944 3988.048409 116.978578
793970 3995.971105 117.088935
798995 4003.051146 118.332091
804020 4011.240133 117.312445
809045 4018.531429 116.001822
814070 4027.126831 114.551851
819095 4035.810060 113.829534
824120 4045.441550 112.382770
829145 4054.397931 113.681295
834171 4062.256682 113.916669
839196 4072.224905 112.897981
844221 4083.295034 116.321306
849246 4088.507651 116.977031
854271 4094.765050 115.507184
859296 4101.643659 114.238320
864321 4110.796263 115.347156
869346 4123.466602 116.068818
874371 4132.467129 116.549958
879397 4141.980092 117.567274
884422 4147.116535 117.403578
889447 4156.679888 114.278324
894472 4168.661304 116.365423
899497 4175.963779 115.361334
904522 4182.963801 114.908580
909547 4188.534293 114.274403
914572 4195.957605 113.793601
919598 4203.321382 112.365098
924623 4214.385155 113.538878
929648 4224.700141 110.944648
934673 4233.406501 111.061516
939698 4243.596444 109.063303
944723 4251.833754 111.737226
949748 4260.333406 112.889302
954773 4268.961012 112.860853
959799 4278.535572 109.788446
964824 4286.745137 108.505064
969849 4295.870081 106.756810
974874 4309.040368 108.917685
979899 4316.896692 111.092404
984924 4327.712288 111.745905
989949 4333.632946 112.499592
994974 4340.111902 113.624314
1000000 4347.446407 113.776468
