Episode CumulativeRegret StdDev
1 0.113285 0.000000
5026 296.026094 34.786701
10051 606.014301 9.240497
15076 782.733889 17.782001
20101 926.576232 23.638159
25126 1053.668760 28.654961
30151 1163.248625 30.533230
35176 1251.605629 36.454017
40201 1328.635984 30.835939
45227 1399.406136 33.892559
50252 1457.098179 32.725654
55277 1522.731328 32.226852
60302 1580.952522 27.403158
65327 1633.750311 25.601439
70352 1682.960130 34.386743
75377 1724.422194 30.505770
80402 1770.338948 33.077600
85428 1818.197733 29.479777
90453 1861.828049 30.587617
95478 1902.211347 37.440000
100503 1938.936445 38.090092
105528 1969.655349 33.709570
110553 2015.650654 37.436676
115578 2055.223553 32.720802
120603 2093.187067 29.701240
125629 2129.761613 31.739698
130654 2168.470431 33.865594
135679 2204.057266 31.095492
140704 2234.335745 28.200100
145729 2261.801603 31.862774
150754 2288.984624 36.031988
155779 2318.440309 36.155236
160804 2347.656993 37.310891
165829 2378.069831 37.330313
170855 2407.980776 46.214568
175880 2434.915014 44.915816
180905 2462.794140 44.950758
185930 2489.009252 50.458490
190955 2512.329300 52.088471
195980 2534.975375 52.289207
201005 2560.056959 50.749205
206030 2588.625113 52.552635
211056 2615.972228 57.306235
216081 2641.087653 58.601405
221106 2665.082748 58.193273
226131 2687.307978 56.776121
231156 2716.470273 58.222798
236181 2741.478061 64.872263
241206 2761.687997 65.252651
246231 2782.439601 65.775653
251257 2806.778239 63.071842
256282 2827.195745 63.556441
261307 2849.546366 63.794935
266332 2872.675315 63.620019
271357 2900.321291 56.740705
276382 2921.993415 57.372980
281407 2946.461339 57.042808
286432 2970.164422 53.362865
291457 2994.314206 56.339946
296483 3020.429372 53.119425
301508 3040.780117 53.438231
306533 3061.912006 55.031688
311558 3082.691524 55.838244
316583 3107.783301 55.369825
321608 3128.431625 54.702546
326633 3147.858724 55.712283
331658 3170.694719 57.851087
336684 3195.062740 56.894331
341709 3215.868275 57.287033
346734 3236.846036 56.095399
351759 3258.473037 57.116343
356784 3280.800207 58.639190
361809 3299.772957 60.193744
366834 3317.977459 59.284775
371859 3337.399036 59.024625
376885 3358.497687 59.752028
381910 3376.882704 61.102801
386935 3397.432233 60.217293
391960 3416.844612 62.014352
396985 3438.957160 62.819495
402010 3460.033656 61.684622
407035 3481.575505 63.268157
412060 3502.086317 64.809272
417086 3525.036602 69.968383
422111 3547.817788 72.935931
427136 3566.159753 73.008669
432161 3587.000631 74.048332
437186 3609.053519 76.832886
442211 3628.716662 79.608850
447236 3648.499163 81.772894
452261 3668.949974 80.746464
457286 3686.870075 80.152434
462312 3706.652190 80.735200
467337 3729.963666 81.701255
472362 3748.938516 83.407252
477387 3765.413731 82.853042
482412 3783.022732 83.343772
487437 3802.015840 81.394912
492462 3820.938086 81.219424
497487 3840.474804 78.937085
502513 3859.226783 78.983288
507538 3877.621652 78.437975
512563 3898.227415 76.065684
517588 3917.840942 77.653416
522613 3937.486079 76.000361
527638 3959.570173 75.977708
532663 3977.757108 75.551587
537688 3995.146513 74.462898
542714 4014.807717 76.310925
547739 4039.079974 81.640067
552764 4058.000641 80.819809
557789 4077.226508 81.611884
562814 4096.955040 84.158440
567839 4113.901746 83.689033
572864 4131.905780 84.115663
577889 4152.025419 87.622964
582914 4169.677361 87.574061
587940 4188.657549 86.174200
592965 4206.146089 85.707290
597990 4225.359383 84.999235
603015 4241.586478 84.837107
608040 4261.110480 87.077516
613065 4278.217062 85.384308
618090 4296.103525 83.700039
623115 4315.571310 84.463329
628141 4332.716584 82.552402
633166 4351.253806 83.241706
638191 4368.694879 83.237322
643216 4385.785622 84.755898
648241 4407.599806 85.425781
653266 4426.254105 86.671777
658291 4445.205137 86.357094
663316 4462.636299 87.422633
668342 4480.028030 87.151618
673367 4498.844517 85.854604
678392 4515.876599 86.380925
683417 4534.076062 89.180926
688442 4550.848569 88.444024
693467 4568.464395 88.409810
698492 4586.289503 88.064088
703517 4609.573157 83.860407
708543 4627.004869 83.251356
713568 4643.874015 82.700264
718593 4661.212314 80.243151
723618 4678.739258 80.452342
728643 4696.543338 80.079377
733668 4712.162478 78.244215
738693 4730.126143 80.996397
743718 4745.943456 80.054297
748743 4761.969639 78.494296
753769 4779.128728 78.896410
758794 4797.499114 79.599568
763819 4815.103241 78.712150
768844 4834.115726 79.095773
773869 4850.696447 78.313692
778894 4865.807010 78.317824
783919 4883.979738 77.500563
788944 4906.365224 76.572063
793970 4924.327588 77.765711
798995 4943.018507 78.169862
804020 4961.798488 77.057512
809045 4979.735443 76.998432
814070 4996.012778 77.224074
819095 5015.788534 74.971370
824120 5032.863541 73.474593
829145 5049.476021 72.258900
834171 5067.618757 70.277899
839196 5084.220836 69.859365
844221 5102.145906 71.294883
849246 5117.961837 70.904228
854271 5134.144731 70.718356
859296 5152.443961 76.063476
864321 5169.874095 77.669084
869346 5187.422560 79.206202
874371 5202.419007 78.157877
879397 5222.190414 80.481711
884422 5237.234046 80.194369
889447 5254.763389 78.674134
894472 5270.624503 78.337385
899497 5288.646878 78.113334
904522 5306.050329 75.908693
909547 5332.489816 84.400513
914572 5349.451775 83.947376
919598 5366.763945 83.921414
924623 5383.420053 85.296318
929648 5401.204529 85.588570
934673 5417.631410 87.231804
939698 5433.274108 86.293256
944723 5449.546830 85.420510
949748 5467.426174 85.644557
954773 5486.928423 86.273615
959799 5503.139992 86.394510
964824 5520.287528 85.921128
969849 5537.844756 87.570106
974874 5553.291162 86.380917
979899 5568.774084 86.358825
984924 5584.738707 85.231366
989949 5601.752802 81.972375
994974 5617.603088 83.313105
1000000 5633.335433 83.433178
