Episode CumulativeRegret StdDev
1 0.005519 0.000000
51 0.278889 0.000516
101 0.538026 0.015304
151 0.761807 0.025857
201 0.951882 0.046566
252 1.138522 0.040813
302 1.298540 0.030326
352 1.479748 0.029417
402 1.637890 0.031063
453 1.825873 0.020085
503 2.025088 0.041396
553 2.215723 0.033408
603 2.453163 0.037697
654 2.656183 0.055700
704 2.832637 0.062371
754 3.016992 0.060695
804 3.216347 0.037473
855 3.402967 0.048285
905 3.594586 0.067046
955 3.918018 0.265904
1005 4.198983 0.459622
1056 4.441036 0.526388
1106 4.804852 0.729975
1156 5.286509 1.081409
1206 5.780558 1.187415
1257 6.202044 1.324380
1307 6.827054 1.441782
1357 7.501214 1.573560
1407 7.870927 1.562204
1458 8.349420 1.401389
1508 9.211040 1.482922
1558 10.210793 1.798052
1608 11.041390 2.061031
1659 11.777892 2.429870
1709 12.118284 2.445065
1759 12.606746 2.582262
1809 13.340736 2.582948
1860 14.038819 2.760422
1910 14.580632 2.714285
1960 15.307609 2.504782
2010 16.129342 2.553299
2061 16.846362 2.479934
2111 17.372888 2.523894
2161 18.432921 2.569770
2211 19.013475 2.568875
2262 19.977036 2.529632
2312 20.827501 2.476243
2362 21.458709 2.418381
2412 22.307658 1.987614
2463 23.361806 2.044371
2513 24.312208 2.083670
2563 24.939550 2.086229
2613 25.746325 2.347540
2664 26.264594 2.199047
2714 27.189069 2.165952
2764 28.171279 2.125013
2814 28.736305 2.300018
2865 29.188626 2.366430
2915 29.808900 2.676588
2965 30.244879 2.599256
3015 30.928781 3.056802
3066 31.477768 3.092930
3116 32.647353 3.302937
3166 34.136882 3.633642
3216 35.394092 3.808068
3267 36.309207 4.136855
3317 37.193998 4.466090
3367 37.713745 4.393081
3417 38.377701 4.232825
3467 39.219658 3.926592
3518 39.895779 3.701391
3568 40.709223 3.831399
3618 41.302829 3.854175
3668 41.916585 3.803204
3719 42.580021 3.756009
3769 43.141693 3.882700
3819 43.655119 4.015915
3869 44.522336 4.364162
3920 45.212934 4.797879
3970 46.010086 4.949032
4020 46.572544 5.115958
4070 47.189415 5.288910
4121 47.864528 5.147268
4171 48.660946 4.927785
4221 49.428953 4.536787
4271 50.285272 4.607980
4322 51.057623 4.622458
4372 51.455271 4.585181
4422 51.850167 4.468086
4472 52.555626 4.161026
4523 53.311750 4.003499
4573 54.021207 3.769097
4623 54.569926 3.806956
4673 55.315910 3.649825
4724 55.984864 3.503708
4774 56.613207 3.555171
4824 57.206897 3.551690
4874 57.593897 3.400612
4925 58.063847 3.474840
4975 58.916897 3.608375
5025 59.680696 3.822158
5075 60.902224 4.119772
5126 62.065145 4.185468
5176 63.056192 3.927427
5226 63.569480 3.926703
5276 64.057632 4.095532
5327 64.632490 3.812176
5377 65.163962 3.806599
5427 66.099080 3.783588
5477 66.461345 3.869590
5528 67.155225 4.064746
5578 67.600693 4.203181
5628 68.206562 4.452765
5678 69.284676 4.859485
5729 69.918690 5.019820
5779 70.553043 5.049630
5829 71.210434 5.303529
5879 71.799440 5.437684
5930 72.397518 5.247601
5980 72.839060 5.270241
6030 73.624931 5.256368
6080 74.653592 5.365171
6131 75.481128 5.752433
6181 75.913414 5.794622
6231 76.411618 5.922210
6281 77.546758 6.354553
6332 78.265286 6.370536
6382 78.813800 6.602208
6432 79.107683 6.527066
6482 79.381827 6.460490
6533 79.707136 6.539123
6583 80.421302 6.464911
6633 81.346194 6.231283
6683 81.974434 6.281092
6733 82.441411 6.379339
6784 82.752925 6.339618
6834 83.279547 6.339102
6884 84.140129 6.382136
6934 84.445103 6.456805
6985 84.763444 6.471879
7035 85.234426 6.683631
7085 85.785225 6.711228
7135 86.593566 6.931851
7186 87.386754 7.137078
7236 87.836409 7.096326
7286 88.297402 6.957981
7336 88.725465 7.036269
7387 89.221387 7.173005
7437 89.838711 7.039914
7487 90.615164 7.143784
7537 91.521470 7.475029
7588 92.503833 7.394412
7638 93.147617 7.144149
7688 94.057854 6.928794
7738 94.828529 6.818754
7789 95.567293 6.733124
7839 96.259688 6.731115
7889 96.813294 6.640287
7939 97.576390 6.589155
7990 98.411881 6.342746
8040 99.172018 6.160201
8090 99.811972 6.139322
8140 100.308436 6.252770
8191 100.851139 6.333451
8241 101.571499 6.533858
8291 102.212403 6.648480
8341 102.559633 6.572973
8392 103.210497 6.734255
8442 103.888668 6.991734
8492 104.465196 7.299514
8542 105.357577 7.743830
8593 106.060926 7.914783
8643 106.708163 7.733902
8693 107.353908 7.883732
8743 107.640541 7.983245
8794 108.259258 8.005307
8844 109.023409 8.294993
8894 109.640986 7.980147
8944 110.371509 7.922952
8995 110.969589 7.831718
9045 111.730474 7.782111
9095 112.063515 7.890611
9145 112.796695 7.999707
9196 113.277145 7.805514
9246 114.107773 8.143716
9296 114.628679 7.921496
9346 115.435673 7.662215
9397 116.243098 7.300800
9447 117.154290 7.470684
9497 118.038464 7.294235
9547 118.941936 7.455769
9598 119.367312 7.325301
9648 119.954998 7.470411
9698 120.545784 7.329104
9748 120.936698 7.348929
9799 121.651804 7.426437
9849 122.900526 7.734021
9899 123.738713 8.258930
9949 124.908399 8.202752
10000 125.666166 7.900410
