# X_Value Improvement_Ratio
0.01000000 0.18173672
0.01172102 0.42309519
0.01373824 0.46092955
0.01610262 0.49299366
0.01887392 0.54495128
0.02212216 0.39729679
0.02592944 0.43653290
0.03039195 0.44984946
0.03562248 0.64737327
0.04175319 0.66666867
0.04893901 0.65759097
0.05736153 0.53895381
0.06723358 0.69281962
0.07880463 0.61407274
0.09236709 0.61698441
0.10826367 0.36002673
0.12689610 0.65222966
0.14873521 0.61670024
0.17433288 0.64465090
0.20433597 0.62462022
0.23950266 0.65316211
0.28072162 0.57539635
0.32903446 0.61076638
0.38566204 0.60407861
0.45203537 0.66097552
0.52983169 0.63437505
0.62101694 0.61223378
0.72789538 0.58230098
0.85316785 0.64995978
1.00000000 0.56565023
