# X_Value Improvement_Ratio
0.01000000 0.18588782
0.01172102 0.43252139
0.01373824 0.46868626
0.01610262 0.50025234
0.01887392 0.55483284
0.02212216 0.40514304
0.02592944 0.44349315
0.03039195 0.45798712
0.03562248 0.65349329
0.04175319 0.67184795
0.04893901 0.66478664
0.05736153 0.54676478
0.06723358 0.69826591
0.07880463 0.62167314
0.09236709 0.62366107
0.10826367 0.36898573
0.12689610 0.65912209
0.14873521 0.62402018
0.17433288 0.65053432
0.20433597 0.65465549
0.23950266 0.66104740
0.28072162 0.65839515
0.32903446 0.64409646
0.38566204 0.63635329
0.45203537 0.70471040
0.52983169 0.66210027
0.62101694 0.70686191
0.72789538 0.65419656
0.85316785 0.69794641
1.00000000 0.66753708
