# X_Value Improvement_Ratio
0.01000000 -0.00142725
0.01172102 0.00011395
0.01373824 -0.00101279
0.01610262 -0.00291037
0.01887392 -0.00118758
0.02212216 -0.00354466
0.02592944 -0.00085452
0.03039195 -0.00061458
0.03562248 -0.00640654
0.04175319 0.00145176
0.04893901 0.03680149
0.05736153 0.00643489
0.06723358 0.00669118
0.07880463 0.00012417
0.09236709 0.01775285
0.10826367 0.00220288
0.12689610 0.02166605
0.14873521 0.05105589
0.17433288 0.00502425
0.20433597 0.11760611
0.23950266 0.11939457
0.28072162 0.11097785
0.32903446 0.15049248
0.38566204 0.14577540
0.45203537 0.31794835
0.52983169 0.24071585
0.62101694 0.38434235
0.72789538 0.24166654
0.85316785 0.44054130
1.00000000 0.25940891
