# X_Value Improvement_Ratio
0.01000000 -0.00084866
0.01172102 0.00127341
0.01373824 0.00103637
0.01610262 0.00016459
0.01887392 0.00090319
0.02212216 -0.00218626
0.02592944 0.00049448
0.03039195 0.00224939
0.03562248 -0.00023393
0.04175319 0.00867545
0.04893901 0.04686213
0.05736153 0.01026719
0.06723358 0.01969772
0.07880463 0.00815449
0.09236709 0.02535920
0.10826367 0.00467883
0.12689610 0.03490939
0.14873521 0.06252253
0.17433288 0.01929977
0.20433597 0.19411935
0.23950266 0.13893607
0.28072162 0.29844379
0.32903446 0.22547346
0.38566204 0.20722180
0.45203537 0.39798080
0.52983169 0.33476643
0.62101694 0.52927419
0.72789538 0.36323182
0.85316785 0.49794613
1.00000000 0.37596378
