# X_Value Improvement_Ratio
0.01000000 -0.00157593
0.01172102 -0.00038247
0.01373824 -0.00138052
0.01610262 -0.00215239
0.01887392 -0.00168695
0.02212216 -0.00383391
0.02592944 -0.00031628
0.03039195 -0.00045829
0.03562248 -0.00638318
0.04175319 0.00055359
0.04893901 0.03564163
0.05736153 0.00678982
0.06723358 0.00596100
0.07880463 -0.00228524
0.09236709 0.01779005
0.10826367 0.00210425
0.12689610 0.02298403
0.14873521 0.05271005
0.17433288 0.00758900
0.20433597 0.11755897
0.23950266 0.12528296
0.28072162 0.10807113
0.32903446 0.14863558
0.38566204 0.14344882
0.45203537 0.32108663
0.52983169 0.23901027
0.62101694 0.38816838
0.72789538 0.24156755
0.85316785 0.43856989
1.00000000 0.25145250
