# X_Value Improvement_Ratio
0.01000000 0.18134809
0.01172102 0.42327911
0.01373824 0.46084684
0.01610262 0.49285843
0.01887392 0.54566705
0.02212216 0.39720081
0.02592944 0.43463973
0.03039195 0.45010449
0.03562248 0.64757315
0.04175319 0.66695177
0.04893901 0.65792100
0.05736153 0.53947958
0.06723358 0.69212798
0.07880463 0.61485329
0.09236709 0.61598121
0.10826367 0.36152152
0.12689610 0.65194205
0.14873521 0.61654586
0.17433288 0.64452596
0.20433597 0.62526191
0.23950266 0.65220537
0.28072162 0.57622805
0.32903446 0.60973336
0.38566204 0.60264245
0.45203537 0.66320454
0.52983169 0.63444497
0.62101694 0.61243707
0.72789538 0.57883830
0.85316785 0.65426182
1.00000000 0.56766951
