# X_Value Improvement_Ratio
1.00000000 0.63511236
0.85316785 0.62893556
0.72789538 0.66313119
0.62101694 0.60620256
0.52983169 0.72765524
0.45203537 0.55205135
0.38566204 0.68286571
0.32903446 0.69496949
0.28072162 0.66039894
0.23950266 0.58778243
0.20433597 0.64016804
0.17433288 0.68918627
0.14873521 0.63556974
0.12689610 0.54824297
0.10826367 0.65713785
0.09236709 0.57205765
0.07880463 0.60097972
0.06723358 0.63589877
0.05736153 0.62861099
0.04893901 0.59303982
0.04175319 0.61220334
0.03562248 0.64169348
0.03039195 0.64795706
0.02592944 0.10412735
0.02212216 0.54705043
0.01887392 0.54829075
0.01610262 0.63235397
0.01373824 0.40976687
0.01172102 0.52441526
0.01000000 0.47023494
