# X_Value Improvement_Ratio
1.00000000 0.71302733
0.85316785 0.68975854
0.72789538 0.68623082
0.62101694 0.67079609
0.52983169 0.76467287
0.45203537 0.67853615
0.38566204 0.70807123
0.32903446 0.73271354
0.28072162 0.66765453
0.23950266 0.59430411
0.20433597 0.64577528
0.17433288 0.69722752
0.14873521 0.66991062
0.12689610 0.55512163
0.10826367 0.66315505
0.09236709 0.57968614
0.07880463 0.60762868
0.06723358 0.64289343
0.05736153 0.63519351
0.04893901 0.59877671
0.04175319 0.61984461
0.03562248 0.64955068
0.03039195 0.65558210
0.02592944 0.10692314
0.02212216 0.55452728
0.01887392 0.55567910
0.01610262 0.64024623
0.01373824 0.41907549
0.01172102 0.53314045
0.01000000 0.47923921
