# X_Value Improvement_Ratio
1.00000000 0.26825185
0.85316785 0.35685019
0.72789538 0.49464949
0.62101694 0.47812689
0.52983169 0.59939395
0.45203537 0.46301085
0.38566204 0.62958699
0.32903446 0.63464881
0.28072162 0.62791290
0.23950266 0.52060426
0.20433597 0.63650775
0.17433288 0.67514145
0.14873521 0.62486946
0.12689610 0.54460651
0.10826367 0.65551377
0.09236709 0.56899224
0.07880463 0.58961550
0.06723358 0.63654313
0.05736153 0.62205378
0.04893901 0.59370813
0.04175319 0.61288969
0.03562248 0.64102027
0.03039195 0.64955211
0.02592944 0.10380415
0.02212216 0.54791260
0.01887392 0.54771656
0.01610262 0.63312027
0.01373824 0.40940695
0.01172102 0.52465595
0.01000000 0.46945667
