# X_Value Improvement_Ratio
1.00000000 0.40904268
0.85316785 0.44440687
0.72789538 0.52405392
0.62101694 0.54512238
0.52983169 0.64790269
0.45203537 0.59745126
0.38566204 0.65476018
0.32903446 0.67646037
0.28072162 0.63744892
0.23950266 0.52803823
0.20433597 0.64234793
0.17433288 0.68223241
0.14873521 0.65940051
0.12689610 0.55196754
0.10826367 0.66258554
0.09236709 0.57550099
0.07880463 0.59588334
0.06723358 0.64419701
0.05736153 0.62827362
0.04893901 0.60055365
0.04175319 0.62145630
0.03562248 0.64727080
0.03039195 0.65735564
0.02592944 0.10714205
0.02212216 0.55514495
0.01887392 0.55512861
0.01610262 0.64042694
0.01373824 0.41833799
0.01172102 0.53379264
0.01000000 0.47841038
