# X_Value Improvement_Ratio
1.00000000 0.27172081
0.85316785 0.35520540
0.72789538 0.49614515
0.62101694 0.48360457
0.52983169 0.59683634
0.45203537 0.46202693
0.38566204 0.63031880
0.32903446 0.63433906
0.28072162 0.62743196
0.23950266 0.52181047
0.20433597 0.63664872
0.17433288 0.67433958
0.14873521 0.62663019
0.12689610 0.54423526
0.10826367 0.65533532
0.09236709 0.56839241
0.07880463 0.58895639
0.06723358 0.63737222
0.05736153 0.62225559
0.04893901 0.59454849
0.04175319 0.61350701
0.03562248 0.64049824
0.03039195 0.64961404
0.02592944 0.10397983
0.02212216 0.54782542
0.01887392 0.54818081
0.01610262 0.63310133
0.01373824 0.40980813
0.01172102 0.52441064
0.01000000 0.46935111
