# X_Value Improvement_Ratio
1.00000000 0.63472795
0.85316785 0.62905464
0.72789538 0.66356999
0.62101694 0.61156430
0.52983169 0.72737741
0.45203537 0.55371348
0.38566204 0.68381682
0.32903446 0.69385063
0.28072162 0.65866781
0.23950266 0.59110289
0.20433597 0.64069190
0.17433288 0.68962449
0.14873521 0.63413646
0.12689610 0.54864670
0.10826367 0.65729808
0.09236709 0.57106060
0.07880463 0.60125385
0.06723358 0.63673865
0.05736153 0.62810085
0.04893901 0.59376701
0.04175319 0.61162752
0.03562248 0.64193444
0.03039195 0.64897497
0.02592944 0.10360523
0.02212216 0.54677303
0.01887392 0.54813120
0.01610262 0.63236588
0.01373824 0.40986370
0.01172102 0.52424144
0.01000000 0.46988125
