# X_Value Improvement_Ratio
0.00000000 0.59477942
0.03103448 0.67672752
0.06206897 0.63198225
0.09310345 0.62209138
0.12413793 0.66394188
0.15517241 0.60025456
0.18620690 0.63433991
0.21724138 0.48730397
0.24827586 0.53468430
0.27931034 0.65150177
0.31034483 0.65933780
0.34137931 0.65938276
0.37241379 0.61086808
0.40344828 0.64846333
0.43448276 0.59401743
0.46551724 0.62077002
0.49655172 0.62106969
0.52758621 0.50005393
0.55862069 0.51291298
0.58965517 0.68332619
0.62068966 0.63208976
0.65172414 0.53635161
0.68275862 0.58310419
0.71379310 0.57785157
0.74482759 0.66173318
0.77586207 0.65239764
0.80689655 0.71888611
0.83793103 0.70177413
0.86896552 0.60981851
0.90000000 0.61412307
