# X_Value Improvement_Ratio
0.00000000 0.60354359
0.03103448 0.68317634
0.06206897 0.63984415
0.09310345 0.62922086
0.12413793 0.67084560
0.15517241 0.60576756
0.18620690 0.64238173
0.21724138 0.49381373
0.24827586 0.54211946
0.27931034 0.65813919
0.31034483 0.66580940
0.34137931 0.66393832
0.37241379 0.61834601
0.40344828 0.65510625
0.43448276 0.60220158
0.46551724 0.62780041
0.49655172 0.62930366
0.52758621 0.50721770
0.55862069 0.52215001
0.58965517 0.69057176
0.62068966 0.63971139
0.65172414 0.54415629
0.68275862 0.59028748
0.71379310 0.58330229
0.74482759 0.66875388
0.77586207 0.65900699
0.80689655 0.73862325
0.83793103 0.70796168
0.86896552 0.61913060
0.90000000 0.62034458
