# X_Value Improvement_Ratio
0.00000000 0.56457837
0.03103448 0.66290926
0.06206897 0.60528757
0.09310345 0.56731811
0.12413793 0.57374243
0.15517241 0.47755814
0.18620690 0.49948759
0.21724138 0.24596902
0.24827586 0.33382750
0.27931034 0.43161769
0.31034483 0.30814548
0.34137931 0.40187042
0.37241379 0.34045551
0.40344828 0.39227193
0.43448276 0.19044105
0.46551724 0.28870499
0.49655172 0.25951779
0.52758621 0.13588514
0.55862069 0.12096977
0.58965517 0.31129920
0.62068966 0.20154057
0.65172414 0.11338640
0.68275862 0.12020470
0.71379310 0.09789971
0.74482759 0.15239218
0.77586207 0.12867230
0.80689655 0.19105354
0.83793103 0.06567739
0.86896552 0.05584399
0.90000000 -0.01069106
