# X_Value Improvement_Ratio
0.00000000 0.57267638
0.03103448 0.67091482
0.06206897 0.61300494
0.09310345 0.57476122
0.12413793 0.58199517
0.15517241 0.48839855
0.18620690 0.50780512
0.21724138 0.25146166
0.24827586 0.33998627
0.27931034 0.44091505
0.31034483 0.31825536
0.34137931 0.41256953
0.37241379 0.35112789
0.40344828 0.40478687
0.43448276 0.19752103
0.46551724 0.29630163
0.49655172 0.26858917
0.52758621 0.14280399
0.55862069 0.12935004
0.58965517 0.32257919
0.62068966 0.21037545
0.65172414 0.11998214
0.68275862 0.13025743
0.71379310 0.10432007
0.74482759 0.16504245
0.77586207 0.13915911
0.80689655 0.24280755
0.83793103 0.07967719
0.86896552 0.06360662
0.90000000 0.00106091
