# X_Value Improvement_Ratio
0.00000000 0.56573378
0.03103448 0.66415644
0.06206897 0.60428436
0.09310345 0.56877196
0.12413793 0.57354100
0.15517241 0.47876352
0.18620690 0.50072169
0.21724138 0.24527681
0.24827586 0.33195890
0.27931034 0.43160250
0.31034483 0.30903591
0.34137931 0.40210571
0.37241379 0.34197499
0.40344828 0.39405838
0.43448276 0.19045129
0.46551724 0.28720813
0.49655172 0.25903363
0.52758621 0.13650143
0.55862069 0.12105244
0.58965517 0.31053749
0.62068966 0.20059985
0.65172414 0.11295904
0.68275862 0.12077343
0.71379310 0.09562912
0.74482759 0.15377740
0.77586207 0.12359497
0.80689655 0.18884234
0.83793103 0.06716245
0.86896552 0.05693833
0.90000000 -0.00970626
