# X_Value Improvement_Ratio
0.00000000 0.59454178
0.03103448 0.67526751
0.06206897 0.63243560
0.09310345 0.62143114
0.12413793 0.66468931
0.15517241 0.59902449
0.18620690 0.63565547
0.21724138 0.48746966
0.24827586 0.53555761
0.27931034 0.65212649
0.31034483 0.65905502
0.34137931 0.66017275
0.37241379 0.61023858
0.40344828 0.64760945
0.43448276 0.59439487
0.46551724 0.62142561
0.49655172 0.62197443
0.52758621 0.50010733
0.55862069 0.51492473
0.58965517 0.68422514
0.62068966 0.63221464
0.65172414 0.53604235
0.68275862 0.58216123
0.71379310 0.57755445
0.74482759 0.66196934
0.77586207 0.65228760
0.80689655 0.71921223
0.83793103 0.70248580
0.86896552 0.61023014
0.90000000 0.61411906
